,,,,,,
,,MUSIC VIDEO,,,,
VIDEO,FOTO,ARTISTA,NOMBRE DEL TEMA,AÑO,PRODUCTION COMPANY,
,,,,,,
,LINK,DUKI & DE LA GHETTO & QUEVEDO,SI QUIEREN FRONTEAR,2022,ANESTESIA,https://drive.google.com/file/d/1OmdXhJ21uUkN61ei3KdmLhCj2PInoZyJ/view
,LINK,DUKI ,ANTES DE PERDERTE,2022,ANESTESIA,https://drive.google.com/file/d/1RDzDakvJeFSwAfs2VyjLVqIT4WapDy0v/view
,LINK,MARIA BECERRA,AUTOMATICO,2022,ASALTO,https://drive.google.com/file/d/1-SOuv86XIu5g0Vqc1FCycYeSuCWBiffV/view
,LINK,MARIA BECERRA,CORAZON VACIO,2023,ASALTO,https://drive.google.com/file/d/1h-y7fe2GMH5wpIMaqjdE6aei8wn1PzxO/view
,LINK,MARIA BECERRA,PRIMER AVISO,2024,ASALTO,https://drive.google.com/file/d/1F2bPMoHBYkqHB5aLpuL64mPJRhFxLy6f/view
,LINK,MARIA BECERRA,IMAN,2024,ASALTO,https://drive.google.com/file/d/18L5rTjMtqf9AJwt0MDiIYYKeoapwfOBy/view
,LINK,JULIETA VEGENAS,EN TU ORILLA,2022,LA CASA DE AL LADO,https://drive.google.com/file/d/1Nequ1sLL0f1Fod4EF55_8q9bipWSjHu1/view
,LINK,JULIETA VEGENAS,MISMO AMOR,2022,LA CASA DE AL LADO,https://drive.google.com/file/d/1YlOfXExXwa0oY5KFrthbqoUcpiwkp44N/view
,LINK,CONOCIENDO RUSIA & NATALIA LAFOURCADE,CINCO HORAS MENOS,2024,MAMAHUNGARA,https://drive.google.com/file/d/1J0v4VTIDMycBxiwz6kTHFnEMZSw_WIZr/view
,LINK,CHITA ,SOLA,2024,THE MOVEMENT / LANDIA,https://drive.google.com/file/d/1Z6LcqpaEdhLxeSdWvBorv5GqViWgHRGQ/view
,LINK,SARAMALACARA,MAS FELIZ,2024,CASTADIVA,https://drive.google.com/file/d/1q2LcnGVg_qV1n2LUXVNW4ZWvQfWzLK90/view
,LINK,TAICHU FT. LALI,S.O.S,2024,CASTADIVA,https://drive.google.com/file/d/185gK0Zl8V13Ik5CYMqytJceFOvsfiFUF/view
,LINK,DILLOM ,BUENOS TIEMPOS,2024,POSTER,https://drive.google.com/file/d/1xg8yG7CbpZIYCI2GTZA_2CL5CYeAp9Cm/view
,LINK,DILOM ,CIRUGIA,2024,POSTER,https://drive.google.com/file/d/1OllwfdPVAvs4bN6AAsL88YsvRghk6sxQ/view
,LINK,MILO J,ALI OLI ,2024,ARENA COLLECTIVE,https://drive.google.com/file/d/1ABvk4iaDRl4QVYmXvpots53dAteQlsGC/view
,LINK,MILO J ,TRES PECADOS DESPUES,2024,ARENA COLLECTIVE,https://drive.google.com/file/d/1vZ7SxnOhDFFQ7I0VzXVXzRPFJJDK2gRk/view
,LINK,SWAGGERBOYS & DILLOM ,"EL MOROCHO, EL RUBIO Y EL COLO",2024,THE MOVEMENT / LANDIA,https://drive.google.com/file/d/14pkXdNULsTKYtocRWzp4-69L3nsKq7JH/view
,LINK,BLAIR,BAR SCORPIOS,2025,POSTER,https://drive.google.com/file/d/1RsopDeeWg2kM7P3vYtocHz7tyzBdow57/view
,LINK,SEBASTIAN YATRA,LA PELIROJA,2025,THE MOVEMENT / LANDIA,https://drive.google.com/file/d/1fxwE6QqQ8YcDK7mRwUqBdMJOQkqnNtC8/view
,,,,,,
,,,,,,
,,COMMERCIAL,,,,
,,CLIENTE,NOMBRE DEL PROYECTO,AÑO,PRODUCTION COMPANY,
,,,,,,
,LINK,CERVEZA QUILMES,SON OTROS TIEMPOS,2024,THE MOVEMENT / LANDIA,https://drive.google.com/file/d/1ZkkC_2FQE0hnVUKk7IdPOQneePsoVPxp/view
,LINK,BETWARRIOR,DEPORTE&CASINO,2024,MAMAHUNGARA,https://drive.google.com/file/d/14zEbszoyOSCOADan_QjIi0mdLsl3xZ1B/view
,LINK,HILERET,ES NATURAL QUE DISFRUTES,2023,REINO BUENOS AIRES,https://drive.google.com/file/d/1XGV9lT69vLmyOdfUKNx0__TtYeqXfXGl/view
,LINK,PERSONAL ,PERSONAL FLOW,2024,POSTER,https://drive.google.com/file/d/1HHGoAIx5tYoR7CYOsJJ-Xedy2UaNPaSd/view
,LINK,SPOTIFY ,MARIA BECERRA,2024,THE MOVEMENT / LANDIA,https://drive.google.com/file/d/1kPRxZ7lVrtv3crwbbRIkefzctly5xtCv/view
,LINK,MERCADOLIBRE,BZRP X NEW ERA ,2023,THE MOVEMENT / LANDIA,https://drive.google.com/file/d/1H-myh8t1fuP5x2miiHv_h88opPjeYPAT/view
,LINK,SPOTIFY,SPOTIFY SINGLES ARGENTINA,2024,POSTER,https://drive.google.com/file/d/1Pj91KoGQNL3-VcmAB5roQS8TnI_dHB-l/view
,LINK,BONAFONT MEXICO,KILOMETROS QUE NOS MUEVEN ,2024,MAMA HUNGARA,https://drive.google.com/file/d/1yys2QrdRdKJNtQCUpxyHUEK-CW8lPAQv/view
,,,,,,
,,SET DESIGN,,,,
,,CLIENTE,NOMBRE DEL PROYECTO,AÑO,,
,LINK,RIES,EDITORIAL,2024,,https://drive.google.com/file/d/1oZ3SNpP4vh_bcFIzQiJ2LrPiDP5Jra_f/view
,LINK,PUMA,FASHION WEEK ,2024,,https://drive.google.com/file/d/1V6HXe7mSASLS4kMbvZBsrGUm217eScEY/view
,LINK,LUNA ALVAREZ CASTILLO,LOCAL,2024,,https://drive.google.com/file/d/1GUjhVOxT02nt2oFzXbqHlMU5ZYwAwXug/view
,LINK,JAZMIN CHEBAR,ACCESORIOS INVIERNO,2024,,https://drive.google.com/file/d/1YwbACA3ipmCyT3xhf__5oRxxxEBFsfU6/view
,LINK,MARIA BECERRA,LOLLAPALOZA SHOW,2023,,https://drive.google.com/file/d/1iJpplrMzws4j-OlF6tauuRwfy8gmfbDB/view
,,FLORIAN,SHOW EN NICETO,2024,,
,,,,,,
,,,,,,
,,FILM,,,,
,,DIRECTOR,NOMBRE DEL PROYECTO,AÑO,PRODUCTION COMPANY,
,,SOFIA PONCINI,EL PLANETARIO,2025,REBOLUCION,
,,LAS LOMAS,FERNANDO RODRIGUEZ,2025,,
